CoFMA,AlternativeUse,ConservationArea,UtilizationArea,Total
Changaweni,378,32,0,NA
Fundo,639,181,58,NA
Gando,743,308,0,NA
Kambini,498,48,45,NA
Kangani,561,74,0,NA
Kifundi,1141,69,71,NA
Kisiwa Panza,262,1272,621,NA
Mgelema,1149,117,0,NA
Mgogoni,586,39,8,NA
Michenzani,985,128,0,NA
Mjimbini,532,249,10,NA
Mjini Wingwi,543,195,135,NA
Msuka Magharibi,378,40,0,NA
Mtambwe Kaskazini,1373,555,0,NA
Mtambwe Kusini,1194,491,1113,NA
Shumba Mjini,495,634,165,NA
Tondooni,288,66,0,NA
Tumbe Magharibi,501,274,0,NA
